emp_no,first_name,last_name,title,from_date
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22
10836,Jianhua,Leivant,Senior Staff,1987-08-10
10844,Dipayan,Koprowski,Engineer,1997-04-25
10847,Theirry,Danley,Senior Staff,1992-07-24
10848,Fen,Bratsberg,Senior Engineer,1992-04-20
10867,Billur,Gyorkos,Engineer,1997-03-23
10878,Lakshmi,Deville,Staff,1997-04-25
10879,Muzhong,Chleq,Senior Engineer,1985-08-15
10883,Shimshon,Champarnaud,Engineer,1996-12-28
10895,Vishwani,Petersohn,Staff,1986-04-26
10909,Georgi,Atchley,Senior Engineer,2000-12-26
10912,Oscal,Fasbender,Senior Staff,1991-04-23
10918,Susumu,Reghbati,Staff,1990-01-29
10921,Mara,Bahi,Senior Engineer,1995-07-27
10924,Hironoby,Atchley,Senior Staff,1997-08-14
10927,Gal,Scallan,Senior Staff,1993-09-12
10936,Mountaz,Schicker,Senior Staff,1996-05-08
10943,Berna,Skafidas,Senior Engineer,1999-05-22
10965,Eckart,Braunschweig,Senior Staff,1986-07-29
10969,Premal,Noriega,Senior Engineer,1994-05-12
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17
10986,Masako,Schiper,Technique Leader,1985-10-11
10988,Chinya,Deyuan,Senior Engineer,1985-06-19
10989,Sumali,Candan,Senior Staff,1991-07-20
10990,Shin,Foote,Technique Leader,1990-08-06
11009,Alper,Axelband,Senior Staff,1993-09-09
11012,Taegyun,Speckmann,Staff,1996-07-06
11019,Leon,Huttel,Senior Engineer,1997-05-24
11021,Srinidhi,Henders,Staff,1998-02-02
11027,Remzi,Cappello,Senior Engineer,1996-05-06
11028,Miyeon,Krider,Senior Engineer,1991-06-18
11031,Ottavia,Walstra,Senior Staff,1993-10-24
11037,Lansing,Maliniak,Senior Engineer,1995-01-28
11038,Jinya,Beidas,Senior Staff,1992-07-15
11042,Gou,Breugel,Senior Engineer,2000-06-21
11048,Jaques,Demke,Senior Staff,1999-05-27
11050,Elvis,Katiyar,Senior Staff,1991-05-06
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26
11070,Adib,Raney,Senior Engineer,1991-07-24
11081,Barry,Boyle,Senior Staff,1994-06-17
11085,Hailing,Thummel,Senior Engineer,1996-02-10
11100,Berna,Cochrane,Senior Staff,1993-10-13
11106,Aris,Iwayama,Senior Engineer,1997-08-30
11110,Valeska,Birjandi,Staff,1987-11-14
11112,Boaz,Mukaidono,Staff,1995-04-28
11113,Shahab,Peng,Senior Staff,1991-11-30
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01
11133,Nalini,Azulay,Technique Leader,1994-03-06
11134,Sachar,Rajcani,Senior Engineer,2002-05-19
11137,Hugh,Luca,Engineer,1995-03-16
11139,Bogdan,Homond,Senior Staff,1995-05-11
11146,Ishfaq,Masand,Senior Staff,1997-08-21
11148,Zhanqiu,Botman,Senior Staff,1997-02-08
11162,Kauko,Narlikar,Senior Engineer,1990-03-28
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10
11197,Tadahiro,Fordan,Senior Staff,1989-09-12
11203,Sakthirel,Yetto,Senior Staff,1996-01-06
11204,Diederik,Covnot,Technique Leader,1985-09-18
11207,Saeed,Gips,Engineer,1999-01-31
11208,Saniya,Valtorta,Technique Leader,1994-11-17
11211,Yurij,Rissland,Senior Engineer,1985-09-17
11217,Kellie,Mawatari,Senior Engineer,1990-03-11
11232,Hidefumi,Crelier,Senior Staff,2000-08-01
11240,Kiam,Condotta,Engineer,1997-01-06
11249,Randi,Cyre,Engineer,1994-09-22
11251,Bezalel,Chinal,Senior Staff,1993-06-15
11268,Aimee,Petersohn,Senior Engineer,1995-10-25
11275,Hitomi,Eppinger,Senior Engineer,1998-04-25
11290,Visit,Dredge,Engineer,1999-05-13
11291,Gino,Glowinski,Senior Engineer,1985-10-20
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01
11320,Atilio,McAlpine,Senior Staff,1998-04-06
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08
11324,Kauko,Billingsley,Senior Engineer,1985-08-29
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28
11339,Flemming,Massonet,Senior Engineer,1989-12-19
11347,Anneli,Jonsson,Senior Engineer,1992-04-19
11365,Toshimi,Shinomoto,Engineer,1997-12-18
11376,Valery,Suomi,Senior Staff,1994-03-14
11380,Kenroku,Pelc,Senior Engineer,2001-04-18
11385,Shiv,Ullian,Engineer,1999-08-08
11386,Alselm,Assaf,Senior Engineer,1993-11-29
11393,Junsik,Junot,Senior Engineer,1992-04-30
11398,Oscar,Peir,Senior Staff,2001-09-07
11404,Bedrich,Borovoy,Technique Leader,1990-09-25
11415,Sanjiv,Anido,Engineer,1996-12-07
11421,Josyula,Msuda,Senior Engineer,1995-09-02
11431,Youngkon,Picht,Senior Staff,1991-09-16
11441,Marlo,Aingworth,Senior Staff,1987-03-27
11449,Kotesh,Asser,Senior Engineer,2000-02-03
11459,Duke,Suomi,Senior Staff,1992-05-02
11461,Kish,Cronau,Senior Engineer,1992-08-18
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08
11477,Fox,Narahari,Engineer,1996-07-28
11501,Karsten,Ranum,Senior Staff,1999-10-24
11506,Rance,Picel,Staff,1996-04-08
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11
11513,Otmar,Mahnke,Senior Staff,1998-08-25
11515,Ulf,Basawa,Staff,1998-09-21
11518,Jinxi,Oxman,Senior Staff,1999-09-22
11524,Xiadong,Standera,Senior Engineer,1996-07-05
11527,Alagu,Boyle,Staff,1999-01-28
11528,Zito,Dolinsky,Technique Leader,1987-06-15
11537,DAIDA,Pehl,Senior Staff,1986-07-06
11554,Subhash,Taubenfeld,Staff,1998-07-15
11555,Kotesh,Perfilyeva,Senior Staff,1991-10-14
11562,Rimli,Alencar,Engineer,1988-06-30
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03
11568,Martins,Fujisaki,Senior Engineer,2000-03-13
11578,Edwin,Rosti,Senior Engineer,1991-11-22
11588,Kaijung,Panangaden,Senior Staff,1994-12-24
11603,Herb,Swen,Senior Staff,1994-04-13
11607,Tomokazu,Foong,Engineer,1995-04-19
11615,Shem,Isaak,Senior Staff,2000-08-28
11624,Adil,Gammage,Senior Engineer,1996-07-15
11628,Fan,Malinowski,Senior Engineer,1997-10-23
11640,Valeri,Coorg,Senior Engineer,1988-09-26
11647,Magy,Nitsche,Senior Engineer,1993-05-11
11660,Gill,Stenning,Senior Staff,1994-11-22
11673,Henk,Felder,Technique Leader,1989-06-10
11676,Valeri,Ferriere,Engineer,1998-07-15
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28
11684,Oksana,Gide,Senior Staff,1995-02-21
11696,Dante,Rothe,Senior Staff,1994-10-23
11705,Arve,Hofmeyr,Senior Staff,1990-10-30
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22
11735,Amalendu,Picci,Senior Staff,1997-07-14
11738,Tadahiro,Lichtman,Senior Engineer,1992-06-18
11746,Koichi,Marrakchi,Senior Staff,1995-11-18
11747,Aksel,Kossowski,Senior Staff,1993-02-20
11751,Jiafu,Emiris,Senior Staff,1993-11-03
11764,Sanjay,Anick,Senior Engineer,1996-12-15
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22
11772,Gaurav,Penz,Engineer,1999-11-07
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05
11813,Gita,Muhlberg,Staff,1987-03-16
11817,Niranjan,Markovitch,Senior Staff,1993-04-12
11832,Arto,Zlotek,Engineer,1996-02-04
11838,Taiji,Nitta,Staff,1986-07-11
11844,Shawna,Demeyer,Senior Engineer,1995-01-27
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17
11857,Divier,Farrag,Senior Staff,1986-08-27
11864,Pradeep,Kriebel,Staff,1995-11-02
11871,Nalini,Sommen,Senior Engineer,1998-10-13
11872,Cheong,Riexinger,Senior Staff,2002-02-12
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16
11894,Mitchel,Validov,Senior Engineer,1988-06-22
11897,Cordelia,Setlzner,Senior Staff,1997-06-16
11906,Hideo,Boguraev,Engineer,1999-02-07
11915,Miomir,Mawatari,Senior Engineer,2001-06-28
11931,Gunilla,Chiodo,Senior Staff,2000-01-13
11933,Basil,Erman,Senior Engineer,1992-06-12
11949,Martijn,Harbusch,Technique Leader,1985-03-11
11983,Jaana,Hedayat,Senior Engineer,1994-10-11
11987,Vidya,Schaar,Senior Staff,1994-10-17
11988,Chinya,Chinin,Senior Engineer,1990-11-03
11993,Marit,Dalphin,Senior Staff,1996-10-22
12011,Zhilian,Coorg,Senior Staff,1997-07-22
12025,Jaewoo,Heiserman,Staff,1985-02-28
12033,Visit,Serot,Engineer,1997-11-30
12036,Mads,Ratzlaff,Senior Staff,1995-09-05
12037,Arunas,Katzenelson,Senior Staff,1992-09-30
12050,Yuchang,Tchuente,Engineer,1996-04-01
12052,Masako,Khasidashvili,Technique Leader,1986-04-07
12062,Margareta,Worfolk,Senior Staff,1996-01-04
12069,Ayonca,Burnard,Senior Engineer,1995-05-13
12070,Ger,Shokrollahi,Technique Leader,1988-11-14
12076,Karlis,Siprelle,Senior Staff,1985-03-25
12082,Xinan,Yamaashi,Senior Staff,1992-01-29
12087,Weijing,Jumpertz,Engineer,1986-08-16
12089,Bilhanan,Socorro,Senior Staff,1994-10-22
12099,Nobuyoshi,Kuzuoka,Senior Staff,1999-02-15
12103,Becky,Erie,Staff,1990-04-23
12112,Satyanarayana,Avouris,Senior Staff,1997-09-26
12122,Satoru,Krone,Senior Engineer,1992-07-23
12123,Xiahua,Syrzycki,Senior Staff,1994-07-18
12125,Shounak,Erman,Engineer,1997-03-31
12128,Yannik,Barreiro,Staff,1997-08-16
12149,Suebskul,Grandbois,Senior Staff,1988-10-01
12159,Shem,Perly,Senior Engineer,1985-07-17
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29
12173,Adel,Nanard,Senior Engineer,1998-09-20
12183,Harngdar,Iisaku,Engineer,1998-04-04
12192,Feiyu,Klyachko,Senior Engineer,1991-09-02
12205,Sushant,Rossi,Senior Engineer,1987-11-11
12206,Barton,Janetzko,Senior Engineer,2001-03-27
12218,Yaghout,Strooper,Senior Engineer,2000-03-11
12221,Vincent,Melter,Senior Engineer,1991-09-16
12222,Abdelwaheb,Holburn,Senior Staff,1996-08-14
12223,Niteen,Koyama,Senior Engineer,1995-08-13
12247,Subbu,Penttonen,Technique Leader,1985-04-09
12249,Eldridge,Sadowski,Senior Engineer,1996-06-20
12254,Chaitali,Stafford,Engineer,1988-12-23
12256,Guadalupe,Reghbati,Senior Staff,1992-08-26
12264,Mart,Pagter,Engineer,1998-01-09
12270,Shakhar,Kornyak,Senior Staff,1996-08-19
12272,Behnaam,Grandbois,Senior Staff,1992-12-07
12274,Garnik,Papadias,Engineer,1988-04-01
12276,Yongmin,Lenart,Senior Engineer,2001-06-13
12303,Godehard,Braccini,Senior Staff,1988-06-13
12308,Mototsugu,Cronau,Senior Staff,1991-08-11
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22
12312,Chenye,Velasco,Engineer,1994-11-24
12327,DAIDA,Bruckman,Senior Engineer,1992-10-15
12335,Arnould,Genin,Senior Staff,1995-12-01
12341,Rasiah,Luga,Senior Engineer,1990-05-25
12343,Sorina,Slaats,Senior Staff,1997-08-25
12365,Kamakshi,Bisiani,Senior Engineer,1994-09-12
12373,Mooi,Driscoll,Senior Staff,1993-11-11
12395,Sanjit,Felder,Senior Staff,1995-06-05
12399,Mihalis,Luga,Senior Staff,1996-12-06
12411,Shao,Ibel,Senior Staff,1991-08-17
12413,Hugh,Gadepally,Senior Engineer,1999-03-04
12415,Uri,Sluis,Staff,1994-10-17
12417,Dannz,Spelt,Senior Engineer,1998-02-02
12422,Berhard,Demos,Senior Staff,2001-06-07
12451,Pramod,Marzano,Senior Engineer,1991-11-26
12454,Kerryn,Farris,Staff,1998-12-18
12464,Shai,Milicic,Staff,1998-06-01
12475,Filipe,Roison,Senior Engineer,1996-04-25
12478,Yahiko,Hopewell,Senior Staff,1997-07-05
12487,Mona,Reghbati,Senior Staff,1998-12-07
12489,Arnould,Munck,Senior Engineer,1986-04-11
12490,Jackson,Muchinsky,Senior Engineer,2000-05-08
12493,Filipp,Menhardt,Senior Engineer,1988-08-08
12497,Stein,Penz,Senior Staff,1997-09-25
12501,Morrie,Matheson,Senior Staff,1986-06-05
12504,Adly,Rosaz,Engineer,1997-08-14
12514,Tomofumi,Melter,Engineer,1999-11-13
12528,Conor,Cincotta,Senior Staff,1997-09-24
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14
12541,Shih,Nanard,Senior Staff,1996-08-31
12542,Kazuhide,Bouloucos,Senior Staff,1993-09-11
12551,Jeane,Tzvieli,Senior Engineer,1993-12-03
12553,Aral,Vesna,Senior Staff,1987-02-28
12557,Stafford,Kopetz,Senior Engineer,1988-03-20
12589,Anoosh,Chleq,Senior Engineer,1997-09-08
12596,Breannda,Roisin,Senior Staff,1996-09-29
12601,Ghassan,Simkin,Senior Engineer,2002-07-09
12608,Nectarios,Mondadori,Senior Staff,2000-02-22
12635,Xinyu,Restivo,Senior Engineer,2000-02-03
12637,Poorav,Karner,Senior Staff,1995-11-02
12638,Yuqun,Seiwald,Engineer,1999-04-29
12642,Suebskul,Gips,Senior Staff,2001-10-28
12651,Pragnesh,Bael,Senior Staff,1988-01-27
12662,Leucio,Alvarado,Engineer,1994-08-27
12663,Nobuyoshi,Stellhorn,Technique Leader,1986-09-29
12664,Zhonghua,Parveen,Staff,1999-08-04
12678,Carrsten,Borovoy,Engineer,1999-06-26
12689,Luerbio,Boudaillier,Senior Engineer,2001-11-23
12691,Oddvar,Gils,Senior Engineer,1998-08-25
12694,Kazuhira,Luders,Engineer,1995-12-01
12697,Uri,Brizzi,Senior Staff,1994-07-11
12709,Ronghao,Botman,Senior Engineer,2001-02-25
12717,Tzu,Jiafu,Staff,1999-10-20
12722,Elliott,Cheshire,Senior Staff,1985-03-29
12726,Fumitake,Panwar,Senior Engineer,1994-05-19
12729,Nahla,Rahier,Senior Engineer,1997-10-15
12730,Barry,Perl,Technique Leader,1993-07-24
12731,Yongmao,Waymire,Senior Staff,1988-04-05
12732,Mara,Takanami,Senior Staff,1988-04-06
12734,Gil,Frijda,Senior Engineer,1986-03-03
12755,Rildo,Rodite,Senior Staff,1994-03-18
12759,LiMin,Kuszyk,Senior Staff,1987-05-31
12773,Jenwei,Lovengreen,Senior Engineer,1994-03-05
12775,Mariangiola,Berendt,Engineer,1999-02-24
12790,Gunilla,Perl,Senior Staff,2000-08-07
12795,Masoud,Fordan,Senior Staff,1997-06-23
12798,Lillian,Beeson,Senior Staff,1996-12-26
12803,Gad,Boissier,Senior Staff,1990-03-16
12815,Sushant,Junot,Senior Staff,1993-02-27
12816,Freyja,Ramras,Senior Engineer,1992-04-18
12819,Mountaz,Gubsky,Senior Engineer,1996-09-09
12846,Krisda,Cyne,Senior Staff,2000-10-15
12848,Kazuhide,Smeets,Engineer,1997-05-11
12853,Mang,Brobst,Senior Staff,1993-01-04
12863,Leif,Matheson,Senior Engineer,1990-09-06
12872,Marl,Schmittgen,Senior Staff,1993-09-09
12876,Apostol,Goodrum,Engineer,1999-09-01
12879,Baruch,Eugenio,Senior Engineer,1995-06-11
12888,Martien,Erni,Senior Staff,1992-05-06
12890,Neven,Casley,Senior Staff,1985-10-31
12893,Licheng,Crouzet,Senior Staff,1995-03-18
12895,Roddy,Serot,Senior Engineer,1993-08-15
12905,Munehiro,Gecsei,Senior Engineer,1993-07-18
12922,Jacqueline,Porenta,Senior Staff,1985-11-20
12926,Heekeun,Luby,Senior Staff,1992-12-24
12937,Arup,Cincotta,Staff,1991-10-27
12940,Odinaldo,Farrar,Senior Engineer,1992-12-11
12941,Tommaso,Perelgut,Senior Engineer,1995-11-06
12949,Geoff,Asrin,Senior Engineer,1992-02-12
12951,Mohammad,Keirsey,Senior Staff,1987-09-17
12972,Juyoung,Azevdeo,Staff,1988-04-03
12974,Gift,Frolund,Senior Staff,1994-10-24
12977,Byong,Markovitch,Senior Engineer,1992-08-23
12983,Elliott,Hambrick,Staff,1999-06-28
13012,Florina,Harbusch,Senior Engineer,1987-12-24
13030,Yahiko,Kroll,Senior Staff,1999-11-25
13046,Vivian,Stafford,Senior Staff,1987-04-19
13047,Atilio,Chelton,Senior Engineer,1997-02-25
13049,Fan,Naudin,Staff,1985-10-06
13062,Xinglin,Baak,Technique Leader,1993-01-08
13075,Rosella,Morrin,Senior Staff,1991-08-17
13076,Deniz,Skafidas,Engineer,1995-01-28
13096,Ibibia,Armand,Senior Engineer,2001-04-22
13103,Srinidhi,Ellozy,Senior Engineer,1988-06-19
13113,Kwun,Landherr,Staff,1993-01-16
13124,Quingbo,Garnick,Senior Staff,1985-03-17
13133,Guther,Senzako,Senior Staff,1991-09-03
13134,Lorien,Chepyzhov,Senior Engineer,1993-10-22
13144,Persi,Nollmann,Senior Staff,1997-06-19
13146,Haldon,Erie,Senior Staff,1985-05-25
13147,Shichao,Ginesta,Senior Staff,1998-06-29
13156,Akeel,Millington,Senior Engineer,2000-08-18
13165,Lucian,Benner,Senior Engineer,1995-03-17
13168,Munir,Stentiford,Senior Engineer,1992-09-10
13170,Cheong,Bernardeschi,Senior Staff,1998-01-09
13171,Anoosh,Birnbaum,Senior Engineer,1995-08-31
13173,Arve,Horswill,Senior Staff,1996-09-23
13179,Moty,Janocha,Staff,1999-02-19
13182,Kokou,Rodite,Engineer,1999-03-03
13186,Kyoichi,Barbanera,Senior Staff,1995-04-29
13192,Rosita,Flowers,Technique Leader,1993-02-01
13202,Aram,Scharstein,Senior Staff,1992-03-28
13210,Jianhua,Klassen,Senior Staff,2002-07-27
13213,Hein,Billawala,Senior Staff,1993-08-30
13221,Premsyl,Famili,Senior Staff,1993-02-26
13232,Mitchel,Fujisaki,Technique Leader,1986-06-02
13233,Alselm,Chvatal,Senior Engineer,1995-03-31
13238,Ebru,Foote,Senior Staff,1998-10-10
13240,King,Pileggi,Senior Engineer,2001-03-10
13243,Fay,Huxford,Staff,1999-09-18
13250,Zeydy,Schusler,Senior Engineer,1998-10-27
13272,Arun,Jiang,Senior Staff,1985-03-10
13276,Yechiam,Seuren,Senior Staff,1991-03-09
13288,Muneo,Broomell,Senior Staff,1995-04-14
13291,Georg,Stamatiou,Senior Engineer,1993-10-30
13299,Guiseppe,Butner,Staff,1997-03-08
13302,Mack,Alencar,Senior Engineer,1997-09-26
13305,Bikash,Herath,Senior Staff,1994-07-17
13315,Sakthirel,Stroustrup,Senior Engineer,1999-06-02
13332,Nidapan,Pearson,Senior Engineer,1997-09-23
13333,Yoshinari,Hennebert,Engineer,1996-03-23
13341,Bodh,Doering,Senior Staff,1992-03-10
13343,Heon,Usery,Senior Staff,1995-07-30
13368,Kiyokazu,Klassen,Staff,1997-09-30
13371,Nakhoon,Riexinger,Senior Engineer,1991-12-13
13373,Juichirou,Naumovich,Senior Staff,2000-08-23
13385,Claudi,Buchter,Senior Staff,1986-06-10
13386,Khosrow,Sgarro,Technique Leader,1986-02-23
13389,Divine,Cmelik,Senior Staff,1988-03-23
13392,Fumitake,Beidas,Senior Staff,1993-08-26
13396,Chuanyi,Aumann,Senior Staff,1994-03-29
13402,Augustine,Dulli,Engineer,1999-09-12
13405,Randy,Baba,Senior Staff,1990-05-10
13407,Gio,Chenoweth,Senior Engineer,2001-10-03
13408,Sreekrishna,Lagarias,Senior Engineer,2000-07-24
13415,Nathalie,Speer,Technique Leader,1991-04-25
13422,Vishwani,Gerlach,Senior Engineer,1995-01-17
13442,Giordano,Miake,Senior Staff,1994-06-16
13443,Mayuko,Puppo,Senior Engineer,1996-12-25
13445,Renee,Dehkordi,Engineer,1996-11-29
13451,Gretta,Weiland,Senior Staff,1995-08-23
13457,Shooichi,Parfitt,Senior Engineer,1991-01-18
13458,Feipei,Nivat,Senior Engineer,1995-03-02
13463,Theron,Berstel,Senior Engineer,1993-01-25
13465,Sasan,Rehfuss,Engineer,1999-03-12
13493,Uinam,Jullig,Senior Engineer,1992-09-06
13504,Parto,Mandell,Engineer,1994-12-21
13521,Jaewoo,Tasistro,Engineer,1988-12-16
13524,Chaoyi,Porotnikoff,Senior Staff,2000-10-27
13535,Arunas,Schlenzig,Senior Engineer,2000-05-19
13546,Aimee,Brookner,Senior Engineer,1997-10-26
13549,Matk,Koprowski,Technique Leader,1997-06-18
13552,Ingmar,Capobianchi,Senior Staff,1993-03-23
13560,Sibyl,Jeong,Engineer,1994-07-28
13576,Jungsoon,Engberts,Senior Staff,2001-08-29
13578,Tadahiko,Christianini,Technique Leader,1994-05-22
13605,Dmitry,Encarnacion,Senior Staff,1991-09-29
13621,Fei,Haddadi,Engineer,1995-02-09
13624,Zhigen,Yurek,Senior Staff,1996-05-11
13629,Dzung,Trelles,Senior Engineer,1994-01-03
13648,Zejun,Lamba,Technique Leader,1985-11-16
13651,Stamatina,Plesums,Engineer,1987-09-02
13653,Kristen,Iivonen,Senior Staff,2000-01-17
13670,Moti,Takanami,Senior Engineer,1988-06-30
13680,Denny,Speer,Staff,1996-02-05
13684,Elvia,Christ,Senior Staff,1985-02-06
13685,Weicheng,Hockney,Senior Engineer,1999-11-29
13697,Shuichi,Weedon,Technique Leader,1985-06-20
13698,Domenico,Mitchem,Engineer,1991-03-19
13704,Vishu,Kumaresan,Senior Engineer,1995-10-01
13721,Sugwoo,Delgrossi,Senior Staff,2001-09-20
13727,Vitali,Merey,Staff,1999-10-07
13738,Bangqing,Mitchem,Engineer,1998-06-30
13747,Masaru,Capobianchi,Senior Staff,1987-03-06
13766,Tremaine,Heemskerk,Senior Staff,1986-08-18
13768,Sedat,Lovengreen,Staff,1986-11-19
